NHGISNAM,ICPSRST,ICPSRCTY,GISJOIN,region
Duplin,47,610,G3700610,2
Edgecombe,47,650,G3700650,2
Gates,47,730,G3700730,2
Greene,47,790,G3700790,2
Halifax,47,830,G3700830,2
Harnett,47,850,G3700850,2
Hertford,47,910,G3700910,2
Hyde,47,950,G3700950,2
Johnston,47,1010,G3701010,2
Jones,47,1030,G3701030,2
Lenoir,47,1070,G3701070,2
Martin,47,1170,G3701170,2
Nash,47,1270,G3701270,2
New Hanover,47,1290,G3701290,2
Northampton,47,1310,G3701310,2
Onslow,47,1330,G3701330,2
Pamlico,47,1370,G3701370,2
Pasquotank,47,1390,G3701390,2
Pender,47,1410,G3701410,2
Perquimans,47,1430,G3701430,2
Pitt,47,1470,G3701470,2
Robeson,47,1550,G3701550,2
Sampson,47,1630,G3701630,2
Scotland,47,1650,G3701650,2
Tyrrell,47,1770,G3701770,2
Washington,47,1870,G3701870,2
Wayne,47,1910,G3701910,2
Wilson,47,1950,G3701950,2
Bamberg,48,90,G4500090,2
Barnwell,48,110,G4500110,2
Beaufort,48,130,G4500130,2
Berkeley,48,150,G4500150,2
Charleston,48,190,G4500190,2
Clarendon,48,270,G4500270,2
Colleton,48,290,G4500290,2
Darlington,48,310,G4500310,2
Dorchester,48,350,G4500350,2
Florence,48,410,G4500410,2
Georgetown,48,430,G4500430,2
Hampton,48,490,G4500490,2
Horry,48,510,G4500510,2
Marion,48,670,G4500670,2
Marlboro,48,690,G4500690,2
Orangeburg,48,750,G4500750,2
Sumter,48,850,G4500850,2
Williamsburg,48,890,G4500890,2
Andrews,49,30,G4800030,3
Archer,49,90,G4800090,3
Armstrong,49,110,G4800110,3
Atascosa,49,130,G4800130,3
Bailey,49,170,G4800170,3
Bandera,49,190,G4800190,3
Baylor,49,230,G4800230,3
Blanco,49,310,G4800310,3
Borden,49,330,G4800330,3
Briscoe,49,450,G4800450,3
Brown,49,490,G4800490,3
Callahan,49,590,G4800590,3
Cameron,49,610,G4800610,3
Carson,49,650,G4800650,3
Castro,49,690,G4800690,3
Childress,49,750,G4800750,3
Clay,49,770,G4800770,3
Cochran,49,790,G4800790,3
Coke,49,810,G4800810,3
Coleman,49,830,G4800830,3
Collingsworth,49,870,G4800870,3
Comal,49,910,G4800910,3
Comanche,49,930,G4800930,3
Concho,49,950,G4800950,3
Cottle,49,1010,G4801010,3
Crane,49,1030,G4801030,3
Crockett,49,1050,G4801050,3
Crosby,49,1070,G4801070,3
Dallam,49,1110,G4801110,3
Dawson,49,1150,G4801150,3
Deaf Smith,49,1170,G4801170,3
Dickens,49,1250,G4801250,3
Dimmit,49,1270,G4801270,3
Donley,49,1290,G4801290,3
Duval,49,1310,G4801310,3
Eastland,49,1330,G4801330,3
Ector,49,1350,G4801350,3
Edwards,49,1370,G4801370,3
Erath,49,1430,G4801430,3
Fisher,49,1510,G4801510,3
Floyd,49,1530,G4801530,3
Foard,49,1550,G4801550,3
Frio,49,1630,G4801630,3
Gaines,49,1650,G4801650,3
Garza,49,1690,G4801690,3
Gillespie,49,1710,G4801710,3
Glasscock,49,1730,G4801730,3
Gray,49,1790,G4801790,3
Hale,49,1890,G4801890,3
Hall,49,1910,G4801910,3
Hansford,49,1950,G4801950,3
Hardeman,49,1970,G4801970,3
Hartley,49,2050,G4802050,3
Haskell,49,2070,G4802070,3
Hays,49,2090,G4802090,3
Hemphill,49,2110,G4802110,3
Hidalgo,49,2150,G4802150,3
Hockley,49,2190,G4802190,3
Howard,49,2270,G4802270,3
Hutchinson,49,2330,G4802330,3
Irion,49,2350,G4802350,3
Jack,49,2370,G4802370,3
Jones,49,2530,G4802530,3
Kendall,49,2590,G4802590,3
Kent,49,2630,G4802630,3
Kerr,49,2650,G4802650,3
Kimble,49,2670,G4802670,3
King,49,2690,G4802690,3
Kinney,49,2710,G4802710,3
Knox,49,2750,G4802750,3
Lamb,49,2790,G4802790,3
La Salle,49,2830,G4802830,3
Lipscomb,49,2950,G4802950,3
Live Oak,49,2970,G4802970,3
Llano,49,2990,G4802990,3
Lubbock,49,3030,G4803030,3
Lynn,49,3050,G4803050,3
Mcculloch,49,3070,G4803070,3
Mcmullen,49,3110,G4803110,3
Martin,49,3170,G4803170,3
Mason,49,3190,G4803190,3
Maverick,49,3230,G4803230,3
Menard,49,3270,G4803270,3
Midland,49,3290,G4803290,3
Mitchell,49,3350,G4803350,3
Montague,49,3370,G4803370,3
Moore,49,3410,G4803410,3
Motley,49,3450,G4803450,3
Nolan,49,3530,G4803530,3
Ochiltree,49,3570,G4803570,3
Oldham,49,3590,G4803590,3
Palo Pinto,49,3630,G4803630,3
Parker,49,3670,G4803670,3
Parmer,49,3690,G4803690,3
Potter,49,3750,G4803750,3
Randall,49,3810,G4803810,3
Roberts,49,3930,G4803930,3
Runnels,49,3990,G4803990,3
San Saba,49,4110,G4804110,3
Schleicher,49,4130,G4804130,3
Scurry,49,4150,G4804150,3
Shackelford,49,4170,G4804170,3
Sherman,49,4210,G4804210,3
Starr,49,4270,G4804270,3
Stephens,49,4290,G4804290,3
Sterling,49,4310,G4804310,3
Stonewall,49,4330,G4804330,3
Sutton,49,4350,G4804350,3
Swisher,49,4370,G4804370,3
Taylor,49,4410,G4804410,3
Terry,49,4450,G4804450,3
Throckmorton,49,4470,G4804470,3
Tom Green,49,4510,G4804510,3
Upton,49,4610,G4804610,3
Uvalde,49,4630,G4804630,3
Val Verde,49,4650,G4804650,3
Webb,49,4790,G4804790,3
Wheeler,49,4830,G4804830,3
Wichita,49,4850,G4804850,3
Wilbarger,49,4870,G4804870,3
Wise,49,4970,G4804970,3
Yoakum,49,5010,G4805010,3
Young,49,5030,G4805030,3
Zapata,49,5050,G4805050,3
Zavala,49,5070,G4805070,3
Union,66,570,G3550535,3
Wichta Indian Reservation,,,G4059075,3
Blaine,,,G4050035,3
Kingfisher,,,G4050255,3
Ponca And Otoe Indian Reservation,,,G4059095,3
Oklahoma,,,G4050335,3
Greer,,,G4050215,3
Kay,,,G4050235,3
Woodward,,,G4050475,3
Woods,,,G4050455,3
Custer,,,G4050095,3
Canadian,,,G4050055,3
Logan,,,G4050295,3
"Kiowa, Comanche, And Apache Indian Reservations",,,G4059035,3
Beaver,,,G4050015,3
Garfield,,,G4050175,3
Washita,,,G4050435,3
Grant,,,G4050195,3
Noble,,,G4050315,3
Day,,,G4050115,3
Payne,,,G4050375,3
Dewey,,,G4050155,3
Roger Mills,,,G4050415,3
Dunklin,34,690,G2900690,4
Mississippi,34,1330,G2901330,4
New Madrid,34,1430,G2901430,4
Pemiscot,34,1550,G2901550,4
Arkansas,42,10,G0500010,4
Chicot,42,170,G0500170,4
Desha,42,410,G0500410,4
Jefferson,42,690,G0500690,4
Lincoln,42,790,G0500790,4
Miller,42,910,G0500910,4
Mississippi,42,930,G0500930,4
Monroe,42,950,G0500950,4
Phillips,42,1070,G0501070,4
Ascension,45,50,G2200050,4
Assumption,45,70,G2200070,4
Avoyelles,45,90,G2200090,4
Bossier,45,150,G2200150,4
Caddo,45,170,G2200170,4
Catahoula,45,250,G2200250,4
Concordia,45,290,G2200290,4
East Carroll,45,350,G2200350,4
Franklin,45,410,G2200410,4
Iberville,45,470,G2200470,4
Jefferson,45,510,G2200510,4
Lafourche,45,570,G2200570,4
Madison,45,650,G2200650,4
Morehouse,45,670,G2200670,4
Natchitoches,45,690,G2200690,4
Orleans,45,710,G2200710,4
Ouachita,45,730,G2200730,4
Plaquemines,45,750,G2200750,4
Pointe Coupee,45,770,G2200770,4
Rapides,45,790,G2200790,4
Red River,45,810,G2200810,4
Richland,45,830,G2200830,4
St Bernard,45,870,G2200870,4
St Charles,45,890,G2200890,4
St James,45,930,G2200930,4
St John The Baptist,45,950,G2200950,4
St Landry,45,970,G2200970,4
St Martin,45,990,G2200990,4
St Mary,45,1010,G2201010,4
Tensas,45,1070,G2201070,4
Terrebonne,45,1090,G2201090,4
West Baton Rouge,45,1210,G2201210,4
West Carroll,45,1230,G2201230,4
Bolivar,46,110,G2800110,4
Coahoma,46,270,G2800270,4
Issaquena,46,550,G2800550,4
Leflore,46,830,G2800830,4
Quitman,46,1190,G2801190,4
Sharkey,46,1250,G2801250,4
Sunflower,46,1330,G2801330,4
Tallahatchie,46,1350,G2801350,4
Tunica,46,1430,G2801430,4
Warren,46,1490,G2801490,4
Washington,46,1510,G2801510,4
Autauga,41,10,G0100010,5
Bibb,41,70,G0100070,5
Blount,41,90,G0100090,5
Calhoun,41,150,G0100150,5
Cherokee,41,190,G0100190,5
Chilton,41,210,G0100210,5
Colbert (new),41,330,G0100330,5
Coosa,41,370,G0100370,5
Cullman,41,430,G0100430,5
Dekalb,41,490,G0100490,5
Elmore,41,510,G0100510,5
Etowah,41,550,G0100550,5
Fayette,41,570,G0100570,5
Franklin,41,590,G0100590,5
Greene,41,630,G0100630,5
Jackson,41,710,G0100710,5
Jefferson,41,730,G0100730,5
Lamar,41,750,G0100750,5
Lauderdale,41,770,G0100770,5
Lawrence,41,790,G0100790,5
Limestone,41,830,G0100830,5
Madison,41,890,G0100890,5
Marion,41,930,G0100930,5
Marshall,41,950,G0100950,5
Morgan,41,1030,G0101030,5
Pickens,41,1070,G0101070,5
St Clair,41,1150,G0101150,5
Shelby,41,1170,G0101170,5
Talladega,41,1210,G0101210,5
Tuscaloosa,41,1250,G0101250,5
Walker,41,1270,G0101270,5
Winston,41,1330,G0101330,5
Bartow,44,150,G1300150,5
Catoosa,44,470,G1300470,5
Chattooga,44,550,G1300550,5
Dade,44,830,G1300830,5
Fannin,44,1110,G1301110,5
Floyd,44,1150,G1301150,5
Gilmer,44,1230,G1301230,5
Gordon,44,1290,G1301290,5
Murray,44,2130,G1302130,5
Pickens,44,2270,G1302270,5
Rabun,44,2410,G1302410,5
Towns,44,2810,G1302810,5
Union,44,2910,G1302910,5
Walker,44,2950,G1302950,5
Whitfield,44,3130,G1303130,5
Alcorn,46,30,G2800030,5
Benton,46,90,G2800090,5
Calhoun,46,130,G2800130,5
Chickasaw,46,170,G2800170,5
De Soto,46,330,G2800330,5
Grenada,46,430,G2800430,5
Itawamba,46,570,G2800570,5
Lafayette,46,710,G2800710,5
Lee,46,810,G2800810,5
Marshall,46,930,G2800930,5
Monroe,46,950,G2800950,5
Panola,46,1070,G2801070,5
Pontotoc,46,1150,G2801150,5
Prentiss,46,1170,G2801170,5
Tate,46,1370,G2801370,5
Tippah,46,1390,G2801390,5
Tishomingo,46,1410,G2801410,5
Union,46,1450,G2801450,5
Yalobusha,46,1610,G2801610,5
Alleghany,47,50,G3700050,5
Ashe,47,90,G3700090,5
Buncombe,47,210,G3700210,5
Caldwell,47,270,G3700270,5
Cherokee,47,390,G3700390,5
Clay,47,430,G3700430,5
Graham,47,750,G3700750,5
Haywood,47,870,G3700870,5
Henderson,47,890,G3700890,5
Jackson,47,990,G3700990,5
Mcdowell,47,1110,G3701110,5
Macon,47,1130,G3701130,5
Madison,47,1150,G3701150,5
Mitchell,47,1210,G3701210,5
Swain,47,1730,G3701730,5
Transylvania,47,1750,G3701750,5
Watauga,47,1890,G3701890,5
Wilkes,47,1930,G3701930,5
Yancey,47,1990,G3701990,5
Anderson,54,10,G4700010,5
Bedford,54,30,G4700030,5
Benton,54,50,G4700050,5
Bledsoe,54,70,G4700070,5
Blount,54,90,G4700090,5
Bradley,54,110,G4700110,5
Campbell,54,130,G4700130,5
Cannon,54,150,G4700150,5
Carroll,54,170,G4700170,5
Carter,54,190,G4700190,5
Cheatham,54,210,G4700210,5
Chester,54,230,G4700230,5
Claiborne,54,250,G4700250,5
Clay,54,270,G4700270,5
Cocke,54,290,G4700290,5
Coffee,54,310,G4700310,5
Crockett,54,330,G4700330,5
Cumberland,54,350,G4700350,5
Davidson,54,370,G4700370,5
Decatur,54,390,G4700390,5
De Kalb,54,410,G4700410,5
Dickson,54,430,G4700430,5
Dyer,54,450,G4700450,5
Fayette,54,470,G4700470,5
Fentress,54,490,G4700490,5
Franklin,54,510,G4700510,5
Gibson,54,530,G4700530,5
Giles,54,550,G4700550,5
Grainger,54,570,G4700570,5
Greene,54,590,G4700590,5
Grundy,54,610,G4700610,5
Hamblen,54,630,G4700630,5
Hamilton,54,650,G4700650,5
Hancock,54,670,G4700670,5
Hardeman,54,690,G4700690,5
Hardin,54,710,G4700710,5
Hawkins,54,730,G4700730,5
Haywood,54,750,G4700750,5
Henderson,54,770,G4700770,5
Henry,54,790,G4700790,5
Hickman,54,810,G4700810,5
Houston,54,830,G4700830,5
Humphreys,54,850,G4700850,5
Jackson,54,870,G4700870,5
James,54,875,G4700875,5
Jefferson,54,890,G4700890,5
Johnson,54,910,G4700910,5
Knox,54,930,G4700930,5
Lake,54,950,G4700950,5
Lauderdale,54,970,G4700970,5
Lawrence,54,990,G4700990,5
Lewis,54,1010,G4701010,5
Lincoln,54,1030,G4701030,5
Loudon,54,1050,G4701050,5
McMinn,54,1070,G4701070,5
McNairy,54,1090,G4701090,5
Macon,54,1110,G4701110,5
Madison,54,1130,G4701130,5
Marion,54,1150,G4701150,5
Marshall,54,1170,G4701170,5
Maury,54,1190,G4701190,5
Meigs,54,1210,G4701210,5
Monroe,54,1230,G4701230,5
Montgomery,54,1250,G4701250,5
Moore,54,1270,G4701270,5
Morgan,54,1290,G4701290,5
Obion,54,1310,G4701310,5
Overton,54,1330,G4701330,5
Perry,54,1350,G4701350,5
Pickett,54,1370,G4701370,5
Polk,54,1390,G4701390,5
Putnam,54,1410,G4701410,5
Rhea,54,1430,G4701430,5
Roane,54,1450,G4701450,5
Robertson,54,1470,G4701470,5
Rutherford,54,1490,G4701490,5
Scott,54,1510,G4701510,5
Sequatchie,54,1530,G4701530,5
Sevier,54,1550,G4701550,5
Shelby,54,1570,G4701570,5
Smith,54,1590,G4701590,5
Stewart,54,1610,G4701610,5
Sullivan,54,1630,G4701630,5
Sumner,54,1650,G4701650,5
Tipton,54,1670,G4701670,5
Trousdale,54,1690,G4701690,5
Unicoi,54,1710,G4701710,5
Union,54,1730,G4701730,5
Van Buren,54,1750,G4701750,5
Warren,54,1770,G4701770,5
Washington,54,1790,G4701790,5
Wayne,54,1810,G4701810,5
Weakley,54,1830,G4701830,5
White,54,1850,G4701850,5
Williamson,54,1870,G4701870,5
Wilson,54,1890,G4701890,5
Bollinger,34,170,G2900170,6
Butler,34,230,G2900230,6
Cape Girardeau,34,310,G2900310,6
Howell,34,910,G2900910,6
Oregon,34,1490,G2901490,6
Ozark,34,1530,G2901530,6
Perry,34,1570,G2901570,6
Ripley,34,1810,G2901810,6
Scott,34,2010,G2902010,6
Stoddard,34,2070,G2902070,6
Taney,34,2130,G2902130,6
Ashley,42,30,G0500030,6
Baxter,42,50,G0500050,6
Benton,42,70,G0500070,6
Boone,42,90,G0500090,6
Bradley,42,110,G0500110,6
Calhoun,42,130,G0500130,6
Carroll,42,150,G0500150,6
Clark,42,190,G0500190,6
Clay,42,210,G0500210,6
Cleburne,42,230,G0500230,6
Cleveland,42,250,G0500250,6
